"line" "CW" "DTA" "DTS" "DTT" "ED" "EH" "EL" "ELL" "ELW" "ERN" "EW" "KNPE" "KNPR" "KWPE" "LBT" "PH" "TBN" "TL"
"96" "MG_199_X_MG_1519" 45.99 67.21 66.97 66.17 5.05 123.73 21.65 86.32 11.36 13.88 273.04 597.17 41.03 229.87 4.44 292.17 10.85 36.08
"97" "MG_199_X_MG_1520" 39.16 67.58 68.62 65.99 4.93 136.75 18.99 91.69 10.98 15.63 241.37 676.25 42.19 207.14 4.11 299.37 12.28 38.17
"98" "MG_199_X_MG_1521" 44.13 67.76 67.52 66.72 5 120.62 19.34 95.86 11.8 14.43 251.27 529.72 37.04 201.41 3.95 296.92 8.46 39.05
"99" "MG_199_X_MG_1522" 44.86 66.47 66.42 65.25 5.19 114.04 19.95 95.19 11.37 13.82 267.66 552.46 39.22 221.43 4.01 267.57 10.33 36.85
"100" "MG_199_X_MG_1523" 36.83 68.31 68.8 67.09 4.84 113.74 20.14 82.28 12.36 13.7 223.85 535.92 38.54 194.39 5.02 270.4 13.3 36.36
"101" "MG_199_X_MG_1524" 39.38 68.87 68.8 68 5.04 137.15 19.22 86.93 12.57 14.43 250.15 567.45 38.92 199.87 4.52 298.39 11.4 34.3
"102" "MG_199_X_MG_1525" 50.85 71.08 73.01 69.65 5.08 136.08 22.52 100.42 11.64 13.94 272.27 586.31 40.8 214.68 5.4 298.59 12.31 38.04
"103" "MG_199_X_MG_1526" 43.13 67.03 67.88 66.17 5.13 117.83 20.29 88.97 11.91 12.98 257.56 517.83 38.84 215.12 3.95 265.02 14.07 37
"104" "MG_199_X_MG_1527" 39.96 66.11 66.42 64.88 4.78 129.48 19.85 93.07 10.81 15.03 263.44 626.89 40.88 217.4 4.04 304.94 9.45 37.08
"105" "MG_199_X_MG_1528" 39.22 66.29 66.79 64.88 4.96 104.05 19.23 90.42 10.67 15.87 245.57 618.88 39.11 210.88 4.56 265.93 9.93 37.01
"106" "MG_199_X_MG_1529" 35.72 65.37 64.59 64.33 4.76 123.68 18.96 89.8 10.51 13.38 209.01 501.03 37.17 178.58 5.53 279.01 7.65 32.85
"107" "MG_199_X_MG_1531" 41.5096635120925 67.3361146161935 68.8001577287066 65.8298720644935 4.99184893094988 122.167788293025 19.6918664563617 92.9547896950578 10.5839344549597 15.9069838766211 244.298671573782 627.090490711532 39.4300455660708 204.9262127585 5.04453382404486 283.801032246758 13.5623821209465 39.0900525854514
"108" "MG_199_X_MG_1532" 42.6 70.34 71.54 69.47 5.05 130.08 19.74 92.85 11.72 12.74 247.86 555.82 41.55 209.34 3.98 282.86 15.32 34.8
"109" "MG_199_X_MG_1533" 45.15 68.13 68.62 66.9 5.19 119.05 20.32 86.82 11.83 14.18 270.94 574.68 39.72 218.94 3.95 268.36 10.03 36.61
"110" "MG_199_X_MG_1535" 40.8 67.95 67.7 66.9 4.89 114.45 20.64 92.21 11.54 13.94 252.19 570.03 39.9 214.44 4.77 277.41 10.7 36.91
"111" "MG_199_X_MG_1536" 36.05 65.92 66.6 64.88 4.98 121.16 18.62 93.55 10.74 15.51 255.66 588.12 38.2 206.23 3.98 277.69 13.08 38.53
"112" "MG_199_X_MG_1539" 57.98 72.37 73.56 71.3 5.4 157.46 20.35 103.72 11.67 15.63 279.07 629.73 40.01 220.23 3.95 307.28 15.25 39.1
"113" "MG_199_X_MG_1541" 49.66 72.73 73.56 71.67 4.75 160.79 19.56 99.98 11.14 12.98 242.75 505.68 38.15 184.42 4.17 337.21 13.27 41.35
"114" "MG_199_X_MG_1542" 40.61 67.95 68.25 65.99 5.07 127.77 19.97 92.02 11.82 15.99 263.24 648.08 40.26 219.38 5.08 304.26 10.59 41.28
"115" "MG_199_X_MG_1543" 37.61 67.19 68 66.27 5.08 119.72 19.47 92.15 11.42 15.87 256.64 633.23 39.71 216.48 4.31 291.22 11.39 39.62
"116" "MG_199_X_MG_1544" 39.39 67.21 67.33 65.99 5.03 117.68 19.85 93.31 11.58 15.63 258.1 618.36 39.45 217.69 4.76 298.05 9.81 39.98
"117" "MG_199_X_MG_1545" 38 66.11 66.05 64.88 5 125.04 19.82 94.5 10.83 13.94 249.83 560.73 39.45 211.7 4.08 295.51 8.97 40.05
"118" "MG_199_X_MG_1546" 48.51 67.95 68.43 66.9 5.11 109.84 21.3 89.96 11.55 14.79 282.13 611.38 40.5 233.06 4.05 286.56 10.96 39.77
"119" "MG_199_X_MG_1547" 38.35 66.84 67.52 65.44 5.01 123.33 19.78 86.38 10.97 14.18 246.49 580.63 40.01 207.07 4.51 296.02 10.59 40
"120" "MG_199_X_MG_1548" 40.5 67.03 67.7 65.62 5.11 106.11 18.87 88.4 12.3 14.18 250.42 552.2 38.58 214.18 4.75 246.41 11.8 36.39
"121" "MG_204_X_MG_1530" 36.67 61.13 62.76 59.2 4.64 101.57 20.74 85.26 10.12 14.55 218 594.33 40.09 190.39 4.1 269.51 17.63 35.87
"122" "MG_204_X_MG_1534" 40.86 67.39 68.43 65.99 4.97 127.31 21.13 88.1 10.82 14.91 253.9 657.38 42.57 229.79 4.1 290.36 13.96 33.59
"123" "MG_204_X_MG_1538" 50.77 73.66 75.14 71.85 4.77 154.8 21.13 96.78 10.28 15.15 251.28 664.1 42.49 198.38 4.34 323.06 18.37 41.36
"124" "MG_204_X_MG_1540" 46.83 66.66 67.88 64.33 4.88 136.47 21.22 91.17 9.94 13.7 229.45 542.64 38.88 190.51 5.4 282.36 17.1 35
"125" "MG_204_X_MG_1518" 37.21 66.47 69.17 64.52 4.74 138.6 20.54 87.87 10.48 14.06 231.98 598.2 41.18 195.99 4.05 291.61 16.71 36.79
"126" "MG_204_X_MG_1519" 38.19 65.74 66.97 64.7 4.96 118.94 20.3 85.95 10.44 15.27 250.39 649.63 41.55 214.09 5.26 291.99 15.47 35.25
"127" "MG_204_X_MG_1520" 47.49 66.66 68.98 65.07 5.2 143.18 20.06 87.68 10.46 16.26 261.09 710.62 42.6 220.62 5.77 293.08 18.03 34.35
"128" "MG_204_X_MG_1521" 42.06 66.47 67.7 65.07 4.78 122.62 20.4 89.1 10.59 15.15 237.08 560.99 37.49 191.88 4.08 288.59 11.75 33.94
"129" "MG_204_X_MG_1522" 41.88 65 66.97 63.42 4.99 110.54 19.44 88.38 9.91 14.24 238.58 565.12 39.15 205.12 4.68 257.47 16.83 32.65
"130" "MG_204_X_MG_1523" 40.34 65.37 67.15 63.78 4.94 107.12 20.2 87.5 11.14 14.79 230.73 600.27 40.03 192.94 5.16 257.99 19.03 33.58
"131" "MG_204_X_MG_1524" 36.82 67.21 68.43 65.99 4.78 136.75 19.66 88.15 11.24 14.18 235.64 554.27 38.67 193.07 4.92 302.96 16.4 32.21
"132" "MG_204_X_MG_1525" 51.03 68.87 71.36 67.64 4.93 126.77 22.42 93.11 10.4 14.55 261.56 594.84 40.12 213.4 5.48 280.01 19.03 34.92
"133" "MG_204_X_MG_1526" 43.52 65 66.79 63.6 5.01 120.93 20.06 93.64 10.96 15.27 254.19 617.84 40.05 220 3.95 265.05 21.77 34.79
"134" "MG_204_X_MG_1527" 40.78 65 65.5 63.78 5.02 140.58 18.86 91.95 10.08 15.63 245.57 608.28 38.96 199.26 4.95 302.2 15.18 34.7
"135" "MG_204_X_MG_1528" 37.45 64.63 66.42 63.42 5.23 109.8 17.78 89 10.76 16.23 239.91 617.84 38.51 209.71 5.24 261.99 11.87 35.67
